year_month,year,month,file_count,total_tokens,found_count,not_found_count,found_percentage,avg_tokens_per_file,unique_not_found_words,error_rate_per_token
1817-01,1817,01,31,23831,18226,4368,76.48,768.7,2048,18.33
1817-02,1817,02,122,95548,68748,22695,71.95,783.2,8394,23.75
1817-03,1817,03,151,105429,77102,23746,73.13,698.2,7824,22.52
1817-04,1817,04,172,96807,72315,19996,74.7,562.8,7378,20.66
1817-05,1817,05,219,125179,91958,27824,73.46,571.6,9346,22.23
1817-06,1817,06,141,100467,72527,23761,72.19,712.5,7981,23.65
1817-07,1817,07,150,95341,68635,22840,71.99,635.6,7786,23.96
1817-08,1817,08,172,114018,76266,32946,66.89,662.9,12682,28.9
1817-09,1817,09,157,87649,62327,21093,71.11,558.3,7734,24.07
1817-10,1817,10,172,87405,63073,20295,72.16,508.2,7105,23.22
1817-11,1817,11,211,110101,82133,22512,74.6,521.8,8149,20.45
1817-12,1817,12,163,89311,65527,19561,73.37,547.9,7775,21.9
